bait	prey	source
slr0585	slr1476	string
slr0525	slr1030	string
slr0506	slr0905	string
slr0495	slr1369	string
slr0452	slr0526	string
slr0446	slr0707	string
slr0435	slr2132	string
slr0435	slr1993	string
slr0435	slr1934	string
slr0435	slr1096	string
slr0426	slr0920	string
slr0426	slr0787	string
slr0394	slr1124	string
slr0379	slr1164	string
slr0379	slr0591	string
slr0370	slr1233	string
slr0370	slr0453	string
slr0361	slr1237	string
slr0348	slr0739	string
slr0319	slr1772	string
slr0301	slr1934	string
slr0301	slr1556	string
slr0301	slr1096	string
slr0301	slr0721	string
slr0293	slr0861	string
slr0288	slr2079	string
slr0288	slr1756	string
slr0288	slr1746	string
slr0288	slr1691	string
slr0288	slr1656	string
slr0288	slr0898	string
slr0288	slr0710	string
slr0220	slr0861	string
slr0213	slr2079	string
slr0213	slr1756	string
slr0213	slr1691	string
slr0213	slr0288	string
slr0212	slr0597	string
slr0212	slr0477	string
slr0186	slr2132	string
slr0186	slr1934	string
slr0186	slr1096	string
slr0186	slr0435	string
slr0121	slr1772	string
slr0121	slr0319	string
slr0095	slr2009	string
slr0095	slr2007	string
slr0095	slr1281	string
slr0095	slr1280	string
slr0095	slr1279	string
slr0095	slr0844	string
slr0095	slr0357	string
slr0095	slr0261	string
slr0091	slr0942	string
slr0091	slr0453	string
slr0091	slr0229	string
slr0078	slr0920	string
slr0078	slr0787	string
slr0077	slr0963	string
slr0070	slr0649	string
slr0070	slr0477	string
slr0070	slr0212	string
slr0056	slr0749	string
slr0056	slr0506	string
slr0054	slr1369	string
slr0036	ssr1720	string
slr0036	slr2081	string
slr0036	slr2079	string
slr0036	slr1842	string
slr0036	slr1756	string
slr0036	slr1746	string
slr0036	slr1720	string
slr0036	slr1476	string
slr0036	slr1031	string
slr0036	slr0958	string
slr0036	slr0585	string
slr0036	slr0288	string
slr0036	slr0090	string
slr0032	slr0557	string
slr0032	slr0526	string
slr0032	slr0186	string
slr0017	slr0624	string
slr0012	slr0394	string
slr0009	slr0394	string
sll2010	slr2079	string
sll2009	slr2001	string
sll2008	slr2001	string
sll1987	slr0095	string
sll1969	slr0054	string
sll1967	slr2009	string
